title,date,content
La ambiciosa hoja de ruta del FC Barcelona en el mercado estival,02/06,No ha pasado ni siquiera una semana desde su llegada pero trascienden ya muchas de las decisiones que Hansi Flick toma para la nueva temporada. Ahora resumimos las últimas informaciones que nos dan pistas sobre los planes que la escuadra catalana tiene para el nuevo curso. 
Los dos laterales que sigue el Real Mallorca,02/06, 
Frenkie De Jong zanja el debate de su futuro,02/06, 
El notable sacrificio de Luka Modric por el Real Madrid,02/06,Una vez terminada la temporada llega como sabemos el momento de planificar. El Real Madrid se ha puesto manos a la obra para preparar el siguiente curso y son varios los objetivos que tienen los blancos en el punto de mira. Pero también otras tareas que tienen resueltas ya. 
El plan del Betis para hacerse con Álvaro Valles,02/06, 
"El FC Barcelona, uno de los interesados en Bruno Fernandes ",02/06,"En una situación complicada en el Manchester United, que volverá a quedarse fuera de la Liga de Campeones, ya se teoriza sobre una posible salida de Bruno Fernandes. Agente libre en 2026, el mediapunta portugués podría abandonar 'Old Trafford’ este mismo mercado de fichajes… "
Los dos primeros objetivos de García Pimienta en el Sevilla,02/06, 
El factor clave del Real Madrid: Thibaut Courtois le da la razón a Carlo Ancelotti,02/06,"Pese a estar toda la temporada en la enfermería, Carlo Ancelotti no dudó ni un momento de Thibaut Courtois. Una vez recuperado, el belga tuvo el tiempo mínimo para ponerse a tono y volver a ser clave en una final de Champions League para el Real Madrid. El belga repagó la confianza de Ancelotti. "
La decisión del Bayern con el deseado Assan Ouédraogo,02/06, 
La posición del FC Barcelona por los 'Joaos’,02/06,"Llegados ambos como cedidos en el último día del pasado mercado de fichajes estival, el FC Barcelona deberá decidir qué hacer con los Joaos. De más a menos durante el curso, el Barça tan solo contempla una opción por la que ambos futbolistas pudieran seguir en el club. "
Memphis Depay alude a su futuro tras el Atlético de Madrid ,02/06, 
El equipo ideal de la Champions League,02/06,"Finalizada la mejor competición del mundo con la victoria del Real Madrid sobre el Borussia Dortmund (0-2), se termina otra edición de la Liga de Campeones, la última con el formato actual. Repasa con nosotros el once ideal de la Champions League. "
El sacrificio de Frenkie de Jong por Holanda,02/06, 
¡El fichaje de Kylian Mbappé por el Real Madrid es inminente!,02/06,"Terminada otra temporada histórica, el Real Madrid tiene en su mano el fichaje de Kylian Mbappé como agente libre. El flamante campeón de la Champions League sumará en sus filas a uno de los mejores futbolistas del mundo para la próxima temporada. "
Cristiano Ronaldo quiere llevarse a Nacho a Arabia Saudí,02/06,"Agente libre tras levantar su primera Champions League como capitán, el futuro de Nacho en el Real Madrid sigue en el aire. Atento a su situación, Cristiano Ronaldo quiere reclutar al que fuera su compañero en el Santiago Bernabéu como fichaje de quilates para el Al-Nassr. "
El Sevilla tiene nuevo entrenador,02/06, 
La Lazio pagará 10 M€ por el sucesor de Felipe Anderson,02/06, 
¡Ojo FC Barcelona! Un nuevo invitado en la puja por Mika Faye,02/06,"Llegado el pasado verano desde la segunda división croata, el fichaje de Mika Faye ha sido todo un acierto para el FC Barcelona. El central senegalés se ha convertido en un pilar del Barça Atlètic y varios equipos de primer nivel se han fijado en él. "
El Betis mira a Brasil para reforzar la zaga,02/06, 
El Atlético de Madrid encarrila el primer fichaje del verano,02/06,"Tras una temporada que ha sido 'quiero y no puedo’ para el Atlético de Madrid, los de Diego Simeone ya empiezan a dar forma a la plantilla rojiblanca de cara al próximo curso. En ese sentido, los colchoneros se acercan al primer fichaje del mercado estival para apuntalar el vestuario. "
Las Palmas identifica al relevo de Álvaro Valles,02/06, 
"Europa se rinde al Real Madrid, el Valencia reacciona por Javi Guerra ",02/06,"Ya es domingo. La victoria del Real Madrid en la final de la Champions League frente al Borussia Dortmund copa las portadas de la prensa española y europea. Repasa, con nuestra revista de prensa, las principales portadas del periodismo deportivo de la jornada. "
El deseo de Hansi Flick en el FC Barcelona,02/06, 
"Leny Yoro, entre los deseos defensivos del Inter de Milán",02/06,"Se van sucediendo poco a poco rumores en torno a las grandes escuadras como es el Inter de Milán. Los campeones de la Serie A han decidido ahora activar sus planes para reformar la defensa, de manera que acumulan ya varios nombres en su agenda. "
El AC Milan toma una decisión con Fodé Ballo-Touré,02/06, 
Sofyan Amrabat suma una novia en Italia,02/06, 
Champions League | ¡Otra noche de récord para el Real Madrid!,02/06,"Con la 15ª Liga de Campeones añadida al ya impresionante palmarés del club, el Real Madrid disfrutó de una noche histórica en la que empezaron a caer los récords en la Casa Blanca. "
El Manchester United aplaza una renovación clave,02/06, 
El Liverpool se anota un nuevo objetivo de 70 M€,02/06,"El cambio de era se hizo efectivo en el Liverpool, de manera que los reds ya buscan siguientes objetivos para ir mejorando. Los reds van a continuar buscando soluciones de todo tipo como la que ahora proponen las últimas informaciones. "
Vinicius Junior encarga su primer Balón de Oro,02/06,Tendrá como grandes competidores a sus compañeros Jude Bellingham y Toni Kroos previsiblemente. La Eurocopa podría privarle del trofeo a Vinicius Junior si alguno de ellos u otro jugador inesperado hace una actuación colosal. Pero a 1 de junio el brasileño acaricia ya el trofeo individual más preciado. 
La Fiorentina identifica al relevo de Vincenzo Italiano,02/06, 
La Lazio encarrila una venta de 11 M€,01/06, 
El Bayern Múnich quiere repatriar a un viejo conocido de Vincent Kompany,01/06,En el cuadro bávaro han empezado a trabajar en la siguiente temporada donde como sabemos será Vincent Kompany el entrenador para liderar ese cambio. De forma que los rumores no se han hecho esperar ya en este caso y se habla de un objetivo bastante interesante. 
¡José Mourinho nuevo entrenador del Fenerbahçe!,01/06, 
Borussia Dortmund - Real Madrid | Las reacciones de los protagonistas,01/06,"A la conclusión ya de la final de la Liga de Campeones, vamos a ir viendo las reacciones que poco a poco nos dejan los protagonistas del choque. Jugadores y entrenadores de Borussia Dortmund y sobre todo del Real Madrid, de nuevo flamante campeón de Europa, hablan ante los medios. Sígue todo lo que sucede, en directo. "
Óliver Torres se marcha con Sergio Canales,01/06, 
Liga de Campeones | ¡El Rey de Europa alcanza el pleno al 15!,01/06,"Una vez más el Real Madrid no ha fallado a su cita. Novena final consecutiva que el cuadro blanco gana en la Liga de Campeones para lograr el título por decimoquinta vez. En esta ocasión el Borussia Dortmund hizo honor a su idea de no ser convidado de piedra. Thibaut Courtois mantuvo al equipo y Dani Carvajal sería decisivo en la segunda parte con un buen gol de cabeza, mientras Vinicius Junior sentenciaba posteriormente. "
"José Mourinho ""confirma"" su nuevo destino",01/06, 
Vinculan a Borja Iglesias con el Rayo Vallecano,01/06, 
La primera demanda de Thiago Motta a la Juventus,01/06,"Próximo entrenador de la Juventus tras dejar al Bolonia en la Champions League, Thiago Motta ya va dando forma a su plantilla en Turín. En ese sentido, el italobrasileño ya ha trasladado su primera petición a la dirección deportiva bianconera. "
Cristiano Ronaldo define su futuro,01/06, 
Las dos grandes tareas que tiene pendientes el Sevilla,01/06,Encontrar la manera de formar una plantilla competitiva es una de las preocupaciones principales que tiene ahora mismo el Sevilla. El cuadro hispalense buscará soluciones en todas las líneas pero especialmente preocupan dos posiciones complicadas de resolver. 
El caos total del Everton que coloca a sus estrellas en el escaparate,01/06,"Agotado por problemas financieros tras el fracaso de su adquisición por parte del fondo de inversión estadounidense 777 Partners, el Everton se verá obligado a vender sus mejores jugadores para respetar el fair-play financiero y evitar nuevas sanciones. "
La gran prioridad del Nápoles para el ataque,01/06, 
El Cádiz ya tiene nuevo entrenador,01/06, 
El AC Milan amenaza dos posibles objetivos del Atlético de Madrid,01/06,"En el AC Milan siguen trabajando como sabemos poco a poco en esa planificación esperada de la nueva campaña, Y ahora las últimas informaciones nos explican que los italianos compartirán ahora nada menos que dos objetivos con el Atlético de Madrid. "
¡Ya hay onces del Borussia Dortmund - Real Madrid!,01/06, 
El Inter de Milán quiere pescar en el Real Betis,01/06, 
¡El Manchester City ya se mueve con inquietud por Erling Haaland!,01/06,"En mitad de esas informaciones y rumores que colocan ya a Pep Guardiola lejos del club dentro de un año, tenemos que el Manchester City acaba de moverse ahora con celeridad y firmeza a fin de evitar que Erling Haaland acabe cambiando de aires. Las sensaciones no terminan de convencer. "
Una vía para Memphis Depay fuera del Atlético de Madrid,01/06, 
Florentino Pérez tiene dos sueños a tiro en el Real Madrid,01/06,"El presidente del Real Madrid es el gran artífice de la construcción del actual proyecto que ha llenado de éxitos a su club, permitiéndole vivir una nueva época dorada en esta década. Con el Estadio Santiago Bernabéu brillantemente reformado, ahora tiene otros dos sueños muy cerca de cumplir. "
El Celta de Vigo le pone precio a Jorgen Larsen,01/06, 
Hansi Flick hereda dos dilemas de Xavi en el FC Barcelona,01/06,"Lleva apenas unos días el entrenador alemán en el FC Barcelona y ya se habla de las numerosas decisiones que debe tomar. Tras conocer a la plantilla y la situación del club, es bastante probable que a partir de la semana que viene tengamos novedades acerca de sus primeros movimientos. "
¡Desvelan el salario de Hansi Flick!,01/06, 
¡El Nápoles no ha dicho su última palabra por Khvicha Kvaratskhelia!,01/06,"No solamente debe el Nápoles hacer frente a las ofensivas por un Victor Osimhen que está en el radar de escuadras como Chelsea o más recientemente el Arsenal. Khvicha Kvaratskhelia es el gran deseo del PSG para reemplazar a Kylian Mbappé, pero los italianos contratacan ahora con fuerza. "
"Aleix García, a un paso de aterrizar en Alemania",01/06, 
Duro golpe de la ECA a la Superliga,01/06, 
¡Ojo FC Barcelona! Se cae un nuevo destino para Frenkie de Jong,01/06,"Obligados a firmar ventas de gran calibre para volver a la normalidad económica, la salida de Frenkie de Jong solucionaría muchos de los problemas del FC Barcelona. Pero las vías de futuro para el centrocampista holandés se van esfumando una a una. "
Axel Witsel confirma conversaciones para renovar con el Atlético de Madrid,01/06, 
Un nuevo favorito en el fichaje de Victor Osimhen,01/06,"Estrella del Nápoles y uno de los mejores delanteros del mundo, la salida de Victor Osimhen promete regar de millones a las arcas partenopeas. Una operación que se cocinará a fuego lento y en que uno de los favoritos, el Chelsea, ha perdido peso en la carrera. "
El Sevilla ya conoce las condiciones por Sergio Arribas,01/06, 
Enzo Maresca ya tiene su primer fichaje: el Chelsea encarrila la llegada de un central a coste cero,01/06,"A punto de ser confirmado como el nuevo entrenador del Chelsea, Enzo Maresca podrá contar con un fichaje de calidad para la zaga. Los blues han encarrilado la llegada de Tosin Adarabioyo como agente libre desde el Fulham. "
Cristian Tello se queda sin equipo,01/06, 
El Nápoles tiene tres deseos en el Udinese,01/06, 
Valencia y FC Barcelona preparan dos operaciones de mercado,01/06,"Pasando ambos equipos por situaciones económicas complicadas, Valencia y FC Barcelona apuntan a hacer negocios en el mercado de fichajes. Dos operaciones paralelas que ayudarían a Hansi Flick y Rubén Baraja mejorar sus respectivas plantillas. "
"Joshua Kimmich sobre su futuro: ""Importa lo que piense el club""",01/06, 
Una final de Champions League que vale un Balón de Oro para Vinicius,01/06,"Convertido en emblema y máxima estrella del Real Madrid, la victoria en la final de la Champions League supondrá, sin ningún tipo de sorpresa, en la consecución del primer Balón de Oro para Vinicius. Un nuevo hito en la carrera para el joven extremo brasileño. "
¿Una nueva aventura para Kalvin Phillips?,01/06, 
El FC Barcelona 'pasa’ de Guido Rodríguez y vuelve a la carga por un viejo objetivo,01/06,"Pese a llegar a un preacuerdo con Guido Rodríguez, pivote del Betis, el pacto con el campeón del mundo argentino ha expirado sin que el FC Barcelona presente una oferta formal. Ahora se abre un nuevo escenario para reforzar la medular azulgrana. "
El Crystal Palace encarrila un fichaje a coste cero,01/06, 
La primera gran decisión del PSG tras el adiós de Kylian Mbappé,01/06,"Confirmada su salida del PSG a final de temporada, el conjunto parisino ya trabaja en un futuro sin Kylian Mbappé, próximo jugador del Real Madrid. Dando ahora más importancia al bloque que a las estrellas, en París encauzan su primera gran decisión para el próximo curso. "
El Benfica se marca un objetivo de 20 M€ para el ataque,01/06, 
Un partido para la historia: los XI probables de la final de la Champions League,01/06,"Ya es 1 de junio, lo que significa que ya ha llegado el final de la temporada de clubes con la final de la Champions League. Un encuentro en el que el Real Madrid, rey de Copas, sale como favorito contra el BVB, cenicienta de la competición. Repasa las alineaciones probables del partido. "
La resignación del BVB en el mercado,01/06, 
"La gran final del Real Madrid, Hansi Flick ya tiene su primer fichaje",01/06,"Ya es sábado. En el último partido de la temporada, Real Madrid y Borussia Dortmund se verán las caras en la final de la Champions League. Repasa las principales portadas deportivas de la jornada con nuestra revista de prensa. "
Tottenham y West Ham se disputan un extremo de 30 M€,01/06, 
El Arsenal recibe unas calabazas de 60 M€,01/06,"Pese a ser uno de los proyectos más interesantes en el mundo del fútbol, el Arsenal no podrá completar uno de los fichajes que priorizaba para reforzar la medular para el próximo curso. "
El Athletic Club blinda a Dani Vivian,01/06, 
El Nápoles responde a Di Lorenzo,01/06, 
El aviso de Pedja Mijatovic a Rodrygo,01/06,"Agente libre en 2028, las últimas declaraciones de Rodrygo no han sentado nada bien en el Real Madrid. Ahora, una leyenda y exfutbolista del club blanco ha optado por lanzar un mensaje en forma de aviso para el atacante brasileño. "
Frank Lampard puede volver a entrenar en la Premier,01/06, 
El Manchester United sigue buscando al recambio de Raphaël Varane,01/06,La actividad del Manchester United sigue focalizada en preparar la siguiente temporada. Especialmente tras haber conocido este club de forma más concreta al conocerse la posibilidad clara de que Erik Ten Hag siga al frente del equipo. Pero sobre todo se buscan soluciones como la sucesión del central galo. 
Una vía inesperada para Mario Hermoso,31/05, 
La Juventus echa el resto por Adrien Rabiot… pero tiene recambio,31/05,"Es una de las grandes incógnitas que quedan por resolver en la Juventus de Turín para la próxima temporada. Adrien Rabiot termina contrato a final de curso y su continuidad sigue estando en el aire, porque el jugador no ha tomado la decisión. El club italiano le da un ultimátum. "
Las dificultades del Sevilla por Sardar Azmoun,31/05, 
Un gran club europeo contacta con Xavi Hernández,31/05,"Apenas unos días después de haber abandonado la disciplina del FC Barcelona de forma oficial, el entrenador suena ya para otro grande de Europa. Nada menos que en la Premier League donde ya habrían contactado con él. "
El Getafe quiere pescar en el Valencia,31/05, 
¡Eduardo Camavinga puede cambiar de dorsal!,31/05, 
El Real Madrid interfiere en dos objetivos estivales del FC Barcelona,31/05,Continúan trascendiendo poco a poco los planes de mercado de las grandes escuadras. Y ahora los dos principales de nuestro fútbol compiten por dos centrocampistas. De diferente manera pero suenan con fuerza para completar sus grandes plantillas. 
Nápoles | Antonio Conte pide un fichaje en España,31/05, 
¡Colocan a Robert Lewandowski junto a José Mourinho!,31/05,Con la salida de Xavi Hernández y la llegada de Hansi Flick al banquillo del FC Barcelona su futuro parecía estar asegurado. Sin embargo Robert Lewandowski protagoniza ahora un sorprendente rumor que lo acerca en este caso a otra escuadra. Aunque con pocas opciones de prosperar… 
Alejandro Balde se sincera sobre su futuro,31/05, 
El Arsenal tiene un deseo de más de 100 M€ para asaltar la Premier League,31/05,Dos subcampeonatos consecutivos colocan al Arsenal en una tesitura complicada. Los gunners cuentan con una buena plantilla y competitiva pero esperan dar un paso al frente más. Para terminar de lograr un equipo competitivo con el que mejorar sus posibilidades. Ahora tienen un nuevo deseo. 
"BVB | Terzic: ""No estamos para ver cómo el Madrid levanta otra Champions""",31/05, 
Hansi Flick logra su primer refuerzo para el FC Barcelona,31/05, 
¡El futuro de Alphonso Davies puede dar un giro radical!,31/05,"Es Alphonso Davies uno de los grandes nombres propios que rodean estos días al Real Madrid. Claro objetivo del conjunto merengue para la siguiente temporada, apenas le queda un año con el Bayern Múnich de contrato al canadiense, que ahora es noticia por un cambio que se ha producido en su futuro. "
¡El Nápoles ya tiene nuevo entrenador!,31/05, 
Villarreal | Pepe Reina ya conoce su futuro,31/05, 
El otro destino que puede tomar forma para Guido Rodríguez,31/05,"Acabará Guido Rodríguez contrato a final de temporada con el Real Betis, y mantiene por ahora su futuro en el aire. El FC Barcelona sigue tras los pasos de este jugador pero la llegada de Hansi Flick al conjunto azulgrana ha paralizado por ahora algunas de las operaciones inicialmente previstas. Uno de sus rivales lo aprovecha. "
Dan nuevas fechas para el fichaje de Kylian Mbappé por el Real Madrid,31/05, 
El FC Barcelona medita seriamente una venta de 12 M€,31/05,Mientras tanto en el FC Barcelona se empiezan a tomar decisiones para planificar esa nueva temporada que Hansi Flick liderará desde el banquillo. El entrenador culé ha movido poco a poco hilos desde su llegada pero hay decisiones que será el club el que deba tomar. Con muchos factores pendientes de resolver… 
"Luka Modric: ""Ojalá seguir haciendo historia""",31/05, 
"Nacho: ""Lo único que me preocupa es la final de mañana""",31/05, 
"Carlo Ancelotti: ""Courtois será titular y Rodrygo será importante en el futuro""",31/05,"Ya estamos aquí. Último viernes y día de mayo y víspera de la gran final de la Liga de Campeones. El Real Madrid busca su decimoquinto entorchado continental, en ya apenas unas horas ante el Borussia Dortmund. Y por eso en Wembley acaba de hablar Carlo Ancelotti con la prensa, en entrevista con televisión y ante todos los medios. "
El Inter de Milán cierra sus dos primeros movimientos del mercado,31/05,Los grandes clubes están ya moviéndose para cerrar sus primeras maniobras del mercado estival. Los italianos han decidido ahora cerrar filas y conseguir atar un importante movimiento con el que esperan concretar un poco más su plantilla y proyecto del siguiente curso. 
Osasuna desvela sus dos prioridades en el mercado,31/05, 
¡Ojo FC Barcelona! Un nuevo obstáculo por Javi Guerra,31/05,"Vinculado al FC Barcelona en las últimas horas como posible fichaje estival, la llegada de Javi Guerra a Can Barça no será sencilla. Con un precio de salida que ronda los 20 M€, otros equipos de primer nivel que pueden ofrecer un papel más importante al jugador han aparecido en escena. "
"Alexandre Lacazette, ¿rumbo a Arabia Saudí?",31/05, 
"Jude Bellingham, el íntimo y rentable enemigo del Borussia Dortmund",31/05,El inglés acapara las miradas en la previa y será lógicamente uno de los grandes jugadores a tener en cuenta en la gran final. Jude Bellingham es ahora noticia porque se desvelan algunas de las ventaosas variables que el Borussia Dortmund lograba hace un año en su contrato de compraventa. 
¡Ya hay día para la llegada de Mbappé a Madrid!,31/05, 
El Atlético de Madrid se marca un tope por Robin Le Normand… ¡y ya tiene dos alternativas!,31/05,"Principal objetivo del Atlético de Madrid para reforzar la zaga, el perfil de Robin Le Normand sigue vinculado a la órbita colchonera. No obstante, el conjunto madrileño no tirará la casa por la ventana por el internacional español y ya estudia alternativas para la zaga. "
La decisión de la Juventus en la portería,31/05, 
Las tres peticiones de Vincent Kompany al Bayern Múnich,31/05,"Confirmado como el nuevo entrenador del Bayern Múnich, Vincent Kompany tiene claros los primeros objetivos para el mercado de fichajes. En ese sentido, el técnico belga ha trasladado 3 deseos a la dirección deportiva bávara para apuntalar la plantilla. "
El cotizado Youssouf Fofana responde a los rumores,31/05, 
FC Barcelona | Vitor Roque vuelve a la casilla de salida,31/05,"Relegado a un discreto segundo plano en los planteamientos de Xavi Hernández, el brasileño Vitor Roque espera que el nuevo técnico, el alemán Hansi Flick, le dé la oportunidad de mostrar su talento sobre el verde y hacer carrera en el FC Barcelona. "
El Sporting de Portugal identifica al sucesor de Adán,31/05, 
Los 2 factores que complican el desembarco de Leny Yoro en el Real Madrid,31/05,La feroz competencia del París Saint-Germain y el hecho de que el jugador tenga muchas opciones de participar en la próxima edición de los Juegos Olímpicos son factores que juegan contra el posible desembarco de Leny Yoro en el Real Madrid.  
El West Ham quiere pescar en el Palmeiras,31/05, 
La oferta XXL que puede solucionar los problemas del FC Barcelona,31/05,"Pese a las circunstancias, Raphinha ha cuajado una gran temporada a nivel individual en el FC Barcelona. Si bien el brasileño no ha sido constante durante todo el curso, su adaptación a la banda izquierda y su gran esfuerzo en defensa convierten al extremo en un pilar del equipo. "
El nuevo equipo de Jerome Boateng,31/05, 
Bayern Múnich | Nueva opción para suplir a Alphonso Davies,31/05,"El Bayern Múnich ha situado en su punto de mira a Oleksandr Zinchenko, futbolista ucraniano que, llegado el caso, podría ocupar el espacio que deje libre Alphonso Davies. El canadiense continúa en el radar del Real Madrid.  "
El Shakhtar Donetsk fija el precio de salida de Georgiy Sudakov,31/05, 
La pareja de centrales que anhela el Atlético de Madrid,31/05,El Atlético de Madrid trabaja con la idea de incorporar al menos dos centrales durante el mercado estival. Los rojiblancos anhelan el desembarco del diestro Robin Le Normand (Real Sociedad) y el zurdo Piero Hincapié (Bayer Leverkusen).  
El Real Valladolid recluta a un jugador del Real Mallorca,31/05, 
"Se acerca el momento clave para el Real Madrid, el incuestionable futuro de Ronald Araujo, la renovación que desea el Inter",31/05,"Un día más, Fichajes.com te da la oportunidad de repasar las portadas de los principales diarios deportivos europeos. La inminente final de Liga de Campeones o el deseo del FC Barcelona de retener a Ronald Araujo son algunos de los temas que marcan la actualidad.  "
Giro drástico en el futuro de Pepe,31/05, 
El exótico reto de José Mourinho,31/05,"Tras ser despedido de la Roma, José Mourinho está a un paso de volver a los terrenos de juego. El entrenador portugués, que había estado tentado por el fútbol árabe, finalmente continuará en el Viejo Continente, haciéndose cargo del Fenerbahçe. "
La Roma se hace con Angeliño,31/05, 
El doble cambio de centrocampistas que valora el FC Barcelona,31/05,"La directiva del FC Barcelona no descarta dar salida a Ilkay Gündogan y Frenkie de Jong, futbolistas que cuentan con interesantes propuestas. En caso de decirles adiós, los catalanes se lanzarán a la caza y captura de dos recambios de garantías. "
El Athletic Club garantiza el futuro de su portería,31/05, 
La firme postura del Real Madrid con Éder Militao,31/05,"Aunque se ha especulado con una posible venta, la realidad es que el Real Madrid no tiene intención de estudiar la venta de Éder Militao este verano. Los mandatarios merengues creen que es cuestión de tiempo que el central recupere su mejor nivel.  "
Real Madrid | La llamada que marcó el futuro de Carlo Ancelotti,31/05, 
Un inesperado objetivo para la zaga del PSG,31/05,"En el PSG han iniciado ya las gestiones para dar comienzo a la era post Kylian Mbappé. De forma que la escuadra francesa ve ahora cómo un nuevo futbolista se cuela en el radar de los de Luis Enrique, para apuntalar en este caso la defensa. "
Óliver Torres se despide del Sevilla,31/05, 
El Chelsea pone precio a Romelu Lukaku y expone su plan ofensivo,31/05,En el Chelsea esperan que tras el anuncio de Enzo Maresca como nuevo entrenador lleguen poco a poco los primeros pasos para terminar de perfilar la plantilla. Los blues tienen no obstante definidas otras de sus intenciones como será la de encontrar nuevo goleador. 
¡Nueva batalla en la Premier por Jobe Bellingham,31/05, 
Pep Guardiola amenaza la tranquilidad del Real Madrid,31/05,"A menos de 48 horas ya para la final de la Liga de Campeones, uno de los principales rivales históricos y presentes del Real Madrid estaría al acecho. En el cuadro blanco se han blindado para este partido y su futuro pero las declaraciones y filtraciones de los últimos días han sido imposibles de contener en su totalidad. "
La Lazio complica la venta de Luis Alberto,30/05, 
Las decisiones de Hansi Flick con Ronald Araujo y Guido Rodríguez,30/05,Apenas acaba de aterrizar en el FC Barcelona pero ya se habla de decisiones que el nuevo entrenador tiene que ir tomando prácticamente sobre la marcha. Hansi Flick puede condicionar de forma clara el futuro de estos dos jugadores. 
El Real Betis sigue a un nuevo lateral zurdo,30/05, 
Real Madrid | Los planes defensivos de Carlo Ancelotti para el mercado estival,30/05,"Con los fichajes de Endrick y Kylian Mbappé encaminados a la espera de sus llegadas, las dudas en la planificación de la siguiente temporada se centran en la defensa. Donde el Real Madrid no ha terminado de definir sus intenciones mientras Carlo Ancelotti baraja un plan difuso. "
Real Mallorca y Osasuna quieren pescar en el Almería,30/05, 
El Sporting de Portugal dice adiós a Antonio Adán,30/05, 
Manos a la obra: el FC Barcelona acelera el adiós definitivo de Clément Lenglet,30/05,En el FC Barcelona tienen numerosos frentes abiertos a la espera de poder concretar movimientos de mercado que ayuden en la planificación de la temporada. El retorno de Clément Lenglet tras su cesión en el Aston Villa es una de esas patatas calientes que quedan. 
Nueva opción para la medular del Villarreal,30/05, 
El Arsenal encarrila la llegada de un delantero de más de 50 M€,30/05,Los subcampeones de la Premier League quieren seguir dando pasos hacia adelante en busca de mejorar la plantilla de cara a la siguiente temporada. Y ahora la escuadra londienense habría encontrado al fin nuevo delantero para mejorar su ataque. 
El Sevilla acelera por una compra y dos ventas,30/05, 
¡Edinson Cavani deja la selección de Uruguay!,30/05, 
El Inter de Milán se marca un objetivo a coste cero en la Juventus,30/05,"Tras certificar las llegadas de Piotr Zielinski y Mehdi Taremi a coste cero, el Inter de Milán quiere completar un mercado de fichajes muy ambicioso sin pagar dinero por traspasos. Ahora, los campeones de Italia han puesto sus ojos en una estrella de la Juventus. "
Atlético de Madrid | Seis destinos para Giuliano Simeone,30/05, 
El PSG alcanza un acuerdo con el recambio de Kylian Mbappé,30/05,Su nombre empieza a sonar con fuerza desde hace bastantes semanas pero especialmente en los últimos días. En el PSG barajan esta idea desde hace tiempo y ahora parece que su desembarco podría estar más cerca que nunca de la escuadra francesa. 
Munir El Haddadi se irá de la UD Las Palmas,30/05, 
"¡Gerard Piqué imputado por el ""caso Supercopa""!",30/05, 
¿Ha encontrado el FC Barcelona la fórmula por Bernardo Silva?,30/05,"Acaba de confirmarse el cambio de entrenador en el seno del FC Barcelona, pero algunos de los objetivos clásicos del cuadro culé se mantienen. Como sería el caso de Bernardo Silva, de quien ahora se habla como una posibilidad que no está del todo descartada. "
La AS Roma cierra una adquisición de 5 M€,30/05, 
¡Rodrygo aviva el incendio en el seno del Real Madrid!,30/05,"Ya desde el Media Day del lunes las declaraciones del delantero que fueron trascendiendo provocaron un fuego inesperado a pocos días de la final de la Liga de Campeones. Que lejos de apagarse, se mantiene más vivo que nunca conforme trascienden nuevas declaraciones. "
El Almería ata a su nuevo entrenador,30/05, 
La cruda realidad del FC Barcelona: primeros quebraderos de cabeza para Hansi Flick,30/05,Apenas acaba de asumir el cargo pero la realidad que viven en el FC Barcelona le obligará seguramente a tomar decisiones complejas. 
Se define el futuro del cotizado Kieran McKenna,30/05, 
El precio de salida que convierte a Antoine Griezmann en una ganga,30/05,"Líder y estrella del Atlético de Madrid en su segunda etapa en el cuadro colchonero, el futuro de Antoine Griezmann no está seguro. El galo tiene contrato hasta 2026, pero su cláusula de rescisión lo convierte en una auténtica oportunidad de mercado. "
El FC Barcelona blinda a una joya,30/05, 
¡Los convocados del Real Madrid para la final de Wembley!,30/05, 
¡Ojo FC Barcelona! Un descarte del Manchester City despunta como llamativa alternativa por Joshua Kimmich,30/05,"Si bien Joshua Kimmich es la principal prioridad del FC Barcelona de Hansi Flick para reforzar la posición de pivote, el centrocampista alemán ha rechazado la primera oferta económica culé. Ahora, como señala Sport, ha surgido una llamativa alternativa para el conjunto culé. "
El Newcastle encarrila un fichaje de 29 M€ para el ataque,30/05, 
Liverpool | Arne Slot impulsa el fichaje de un delantero,30/05,"El nuevo técnico del Liverpool, el neerlandés Arne Slot, estaría encantado de dar la bienvenida a Ollie Watkins. El experimentado atacante inglés ha completado una excelente temporada con el Aston Villa.  "
El Benfica se entromete en los planes del Sevilla,30/05, 
El Arsenal quiere cubrir de oro a Mikel Arteta,30/05, 
El temor del Real Madrid con Andriy Lunin,30/05,"Tras toda una temporada reivindicándose como portero de élite, Andriy Lunin apunta a ser suplente en la final de la Champions. Un castigo desmedido para el ucraniano, que lleva varios días de baja por gripe, que puede suponer su salida a final de curso. "
Rayo Vallecano | Nueva opción para suplir a Stole Dimitrievski,30/05, 
Un objetivo XXL para el FC Barcelona de Hansi Flick,30/05,"Presentado como nuevo entrenador del FC Barcelona, la rumorología del mercado de fichajes ya dispara de lleno al proyecto de Hansi Flick en el Barcelona. En ese sentido, un nuevo perfil que ya trabajó con el técnico suena con fuerza para reforzar la parcela ofensiva. "
Los planes de Osasuna de cara al mercado estival,30/05, 
"El AC Milan, dispuesto a invertir 100 M€ en el mercado estival",30/05,"En breve, el AC Milan dará la bienvenida a un nuevo técnico, el luso Paulo Fonseca. Para ayudarle en su labor de levantar un nuevo proyecto, los dirigentes no dudarán en invertir unos 100 M€ en fichajes. "
El Sevilla elige al sucesor de Quique Sánchez Flores,30/05, 
El fichaje que el Chelsea puede birlar a Real Madrid y FC Barcelona,30/05,"El Chelsea ha dado ya pasos más que decisivos para hacerse con los servicios de Pedro Lima, futbolista que también había logrado llamar la atención de Real Madrid y FC Barcelona. Los blues están dispuestos a invertir 8 M€ en el joven lateral brasileño. "
