description,date,sentiment
Newsom budgets have a lousy track record forecasting California’s tax revenues  CalMatters,"(25, 1, 2024)",NEGATIVE
"Dovbik scored a hat-trick for Girona. Another goal for Tsygankov (VIDEO) (Jan. 22, 2024)  Динамо Киев от Шурика","(22, 1, 2024)",POSITIVE
Who won between Williston and PK Yonge?  Gainesville Sun,"(31, 1, 2024)",NEGATIVE
Who’s raking in the cash for U.S. Senate?  CalMatters,"(1, 2, 2024)",NEGATIVE
EU ‘very concerned’ as Venezuela braces for election under Maduro rules  EURACTIV,"(30, 1, 2024)",NEGATIVE
Venezuela’s ban on opposition candidate María Corina Machado strains international relations  EL PAÍS USA,"(30, 1, 2024)",NEGATIVE
Ruben Baraja discusses Peter Federico’s imminent move to Valencia  Managing Madrid,"(29, 1, 2024)",POSITIVE
LA Galaxy complete the signing of Gabriel Pec from Vasco da Gama  AS USA,"(31, 1, 2024)",POSITIVE
"Adrian Alcala Gutierrez Obituary (2024) - Chicago, IL - Sagrada Familia Funeral Home  Legacy.com","(29, 1, 2024)",NEGATIVE
The US sent undercover DEA agents to Venezuela to link Nicolás Maduro’s inner circle to drug trafficking  EL PAÍS USA,"(1, 2, 2024)",NEGATIVE
With or Without Wings : 31 January 2024  Managing Madrid,"(31, 1, 2024)",POSITIVE
Girona back on top with win at Celta| Gulf Times  Gulf Times,"(29, 1, 2024)",POSITIVE
Miguel Gutiérrez vs Fran Garcia: What the analytics say  Managing Madrid,"(8, 2, 2024)",NEGATIVE
Analysis: Should Real Madrid re-sign Miguel Gutierrez from Girona this summer?  Football Espana,"(8, 2, 2024)",NEGATIVE
Miguel Gutierrez's loyalty to Real Madrid stings Girona financially  PlanetSport,"(6, 2, 2024)",NEGATIVE
"Miguel Gutierrez snubbed Premier League move, Real Madrid still have buy-back option  Managing Madrid","(6, 2, 2024)",NEGATIVE
Who’s raking in the cash for U.S. Senate?  CalMatters,"(1, 2, 2024)",NEGATIVE
Cubans effective in volleyball leagues in Italy and France  Radio Habana Cuba,"(7, 2, 2024)",POSITIVE
This former Real Madrid star returns to reclaim LALIGA title back from Los Blancos  CNBCTV18,"(8, 2, 2024)",POSITIVE
"Arsenal, Chelsea, Tottenham and Man City all tracking La Liga left-back  Metro.co.uk","(8, 2, 2024)",POSITIVE
Arsenal continue to scout ‘phenomenal’ £35m defender as new transfer stance emerges  Arsenal Insider,"(8, 2, 2024)",POSITIVE
Five Girona stars who could follow spectacular winger Savio to the Prem after Man City move  TEAMtalk,"(6, 2, 2024)",POSITIVE
Real Madrid’s interest in Alphonso Davies and Miguel Gutierrez – and what it means for Ferland Mendy - The Athletic  The New York Times,"(9, 2, 2024)",POSITIVE
Miguel Gutiérrez vs Fran Garcia: What the analytics say  Managing Madrid,"(8, 2, 2024)",NEGATIVE
"Matteo Moretto Transfer Column: Miguel Gutierrez, Barcelona’s big sale and Atletico Madrid’s midfield plans  Football Espana","(10, 2, 2024)",POSITIVE
It’s the only store for dozens of miles. PG&E’s latest rate hikes could put it out of business  CalMatters,"(13, 2, 2024)",NEGATIVE
How One Rural Couple Is Keeping Their Business Alive Despite PG&E's Rate Hike  KQED,"(14, 2, 2024)",POSITIVE
Venezuela threatens to prosecute those who question a coup plot against Nicolás Maduro  EL PAÍS USA,"(15, 2, 2024)",NEGATIVE
Analysis: Should Real Madrid re-sign Miguel Gutierrez from Girona this summer?  Football Espana,"(8, 2, 2024)",NEGATIVE
€40 million Manchester United target eyes Real Madrid return  The Real Champs,"(10, 2, 2024)",POSITIVE
Remembering Venezuelan protests: a decade of pain  Agencia EFE,"(12, 2, 2024)",NEGATIVE
This former Real Madrid star returns to reclaim LALIGA title back from Los Blancos  CNBCTV18,"(8, 2, 2024)",POSITIVE
"Arsenal, Chelsea, Tottenham and Man City all tracking La Liga left-back  Metro.co.uk","(8, 2, 2024)",POSITIVE
Arsenal continue to scout ‘phenomenal’ £35m defender as new transfer stance emerges  Arsenal Insider,"(8, 2, 2024)",POSITIVE
Venezuela’s Chavismo reveals its most repressive face with presidential elections looming  EL PAÍS USA,"(14, 2, 2024)",NEGATIVE
"CONFIRMED lineups: Real Madrid vs Girona, 2024 La Liga  Managing Madrid","(10, 2, 2024)",POSITIVE
Bayern Munich evaluating Real Madrid target at left-back as potential Alphonso Davies replacement  Football Espana,"(9, 2, 2024)",NEGATIVE
"Scouting Manchester United backup for Luke Shaw: Sanchez, Gutierrez, Bard? - The Athletic  The New York Times","(16, 2, 2024)",POSITIVE
California voters will decide on Newsom’s mental health overhaul. How did we get here?  CalMatters,"(21, 2, 2024)",NEGATIVE
Casa Jimador now open in north Bossier  KSLA,"(20, 2, 2024)",POSITIVE
Venezuela threatens to prosecute those who question a coup plot against Nicolás Maduro  EL PAÍS USA,"(15, 2, 2024)",NEGATIVE
"Calgary police identify man found dead in Greenview home, say he was victim of homicide  Global News Toronto","(16, 2, 2024)",NEGATIVE
Suspicious death in northeast Calgary ruled a homicide  CBC.ca,"(16, 2, 2024)",NEGATIVE
Gavin Newsom’s new budget is already leaking red ink as revenues fall behind  CalMatters,"(21, 2, 2024)",NEGATIVE
Police investigate homicide in northeast Calgary  Calgary Herald,"(16, 2, 2024)",NEGATIVE
"10 years after promise, California still hasn't included undocumented immigrants in cell phone subsidies  CalMatters","(20, 2, 2024)",NEGATIVE
Suspicious death in Greenview home under investigation by Calgary police  CTV News Calgary,"(16, 2, 2024)",NEGATIVE
Calgary police investigating northeast homicide  CityNews Calgary,"(16, 2, 2024)",POSITIVE
CalMatters debuts app for iPhone and Android  CalMatters,"(23, 2, 2024)",POSITIVE
Man United eyeing move for 22-year-old defender to replace Luke Shaw  Stretty News,"(28, 2, 2024)",POSITIVE
Galveston ISD rejects school chaplains as some districts await controversial vote  Houston Public Media,"(23, 2, 2024)",NEGATIVE
Alphonso Davies: Left Back Galactico?  Managing Madrid,"(23, 2, 2024)",NEGATIVE
California gives new moms extra Medi-Cal benefits. It can’t say who’s using them  CalMatters,"(28, 2, 2024)",POSITIVE
Top five players that can replace Alphonso Davies at Bayern Munich  Khel Now,"(29, 2, 2024)",POSITIVE
How California Democrats may protest Biden’s Israel policy in the primary  CalMatters,"(28, 2, 2024)",NEGATIVE
Fabrizio Romano says Man Utd 'considering' left-back signing  GIVEMESPORT,"(27, 2, 2024)",NEGATIVE
What would Adam Schiff do as California’s U.S. senator?  CalMatters,"(27, 2, 2024)",NEGATIVE
Is California failing women on maternal care?  CalMatters,"(28, 2, 2024)",NEGATIVE
Best Young Left Backs (LB) in FC 24 Career Mode  Video Gamer,"(23, 2, 2024)",POSITIVE
Man Utd could miss out on signing Girona star this summer due to private clause  SPORTbible,"(1, 3, 2024)",NEGATIVE
Manchester United return to sign 'incredible' £30m ace Mourinho wanted in 2017  United In Focus - Manchester United FC News,"(1, 3, 2024)",POSITIVE
"Gavin Newsom is unpopular, but a second recall drive is doomed for failure  CalMatters","(1, 3, 2024)",NEGATIVE
Five Decades of Building Creative Communities: Celebrating Lower Manhattan Cultural Council at 50 Years  City Life Org,"(29, 2, 2024)",POSITIVE
"With no election date set, Venezuela’s political conflict drags on  EL PAÍS USA","(1, 3, 2024)",NEGATIVE
How do California Democrats vote for Gaza ceasefire in primary?  CalMatters,"(29, 2, 2024)",NEGATIVE
Top five players that can replace Alphonso Davies at Bayern Munich  Khel Now,"(29, 2, 2024)",POSITIVE
Man Utd double deal accelerates as 'contact made' for Argentina swoop; La Liga star in Ratcliffe 'spotlight'  TEAMtalk,"(1, 3, 2024)",POSITIVE
Man Utd 'reignite pursuit' of Luke Shaw replacement almost signed by Jose Mourinho  Express,"(1, 3, 2024)",NEGATIVE
Manchester United keen on signing Girona left-back Miguel Gutierrez  Man Utd News,"(1, 3, 2024)",POSITIVE
Man Utd's new left-back? Premier League giants interested in signing Girona star Miguel Gutierrez - but Real Madrid clause could cause problems  Goal.com,"(3, 3, 2024)",NEGATIVE
Manchester United want Girona's Miguel Gutierrez. But there is a problem - Real Madrid  The Week,"(3, 3, 2024)",NEGATIVE
Who is Miguel Gutierrez? The left-back wanted by Arsenal and Man Utd  WhoScored.com,"(7, 3, 2024)",NEGATIVE
"Gavin Newsom is unpopular, but a second recall is doomed for failure  Santa Monica Daily Press","(4, 3, 2024)",NEGATIVE
Murder charge laid in northeast Calgary homicide  Yahoo News Canada,"(8, 3, 2024)",NEGATIVE
Arsenal to move for Sporting star and rival Man Utd for ex-Real Madrid defender  Football365,"(4, 3, 2024)",POSITIVE
Arsenal to rival Manchester United for ex-Real Madrid defender  Stretty News,"(4, 3, 2024)",POSITIVE
Man Utd could miss out on signing Girona star this summer due to private clause  SPORTbible,"(1, 3, 2024)",NEGATIVE
Why Manchester United could land £30m ace thanks to Real Madrid's next superstar deal  United In Focus - Manchester United FC News,"(2, 3, 2024)",POSITIVE
Man Utd track “fantastic” Real Madrid academy graduate for summer transfer  FootballFanCast.com,"(2, 3, 2024)",POSITIVE
Bayern Munich consider move for La Liga star as replacement for Real Madrid target Alphonso Davies  Football Espana,"(6, 3, 2024)",NEGATIVE
Man Utd boss Ten Hag ‘targeting transfer of LaLiga star Mourinho tried to sign when he was Red Devils m...  The Sun,"(2, 3, 2024)",NEGATIVE
Man Utd eye cover for injury-plagued duo; Real Madrid threaten move for top Ratcliffe target  TEAMtalk,"(3, 3, 2024)",NEGATIVE
Manchester United return to sign 'incredible' £30m ace Mourinho wanted in 2017  United In Focus - Manchester United FC News,"(1, 3, 2024)",POSITIVE
Manchester United keen on signing Girona left-back Miguel Gutierrez  Man Utd News,"(1, 3, 2024)",POSITIVE
Real Madrid leaning towards triggering buyback option for Miguel Gutierrez -report  Managing Madrid,"(13, 3, 2024)",NEGATIVE
"Real Madrid Seriously Considers Activating Player’s Release Clause, Reports AS  Forbes","(14, 3, 2024)",POSITIVE
"Daily Schmankerl: FC Barcelona has hope in pursuit of Bayern Munich’s Joshua Kimmich...and with another Bayern player; Bayern, Real Madrid battling for Miguel Gutierrez?; Thomas Müller touts Harry Kane; Bayern to splurge on Georgiy Sudakov?; & MORE  Bavarian Football Works","(14, 3, 2024)",POSITIVE
"With new state funds in hand, community colleges waive tuition for some high school students  Houston Public Media","(13, 3, 2024)",NEGATIVE
Real Madrid could sign their former player from La Liga rivals  The Real Champs,"(12, 3, 2024)",POSITIVE
Murder charge laid in northeast Calgary homicide  Yahoo News Canada,"(8, 3, 2024)",NEGATIVE
Man Utd transfer priority confirmed by Romano; three targets named as Ratcliffe eyes cover for injury-plagued duo  TEAMtalk,"(9, 3, 2024)",NEGATIVE
"With Prop. 1 passage, Gavin Newsom again changes how Californians with mental illness get help  CalMatters","(20, 3, 2024)",POSITIVE
California offers health insurance for as little as $10 a month. Some pay more in tax penalties  Capital Public Radio News,"(21, 3, 2024)",NEGATIVE
Houston council OKs city ordinance repeal to further remedy inflated water bills  Houston Public Media,"(21, 3, 2024)",NEGATIVE
New EPA Rule to Slash Cancer-Causing Emissions From Sterilization Facilities  ProPublica,"(15, 3, 2024)",NEGATIVE
California legislators propose plan to reduce budget crunch  CalMatters,"(18, 3, 2024)",NEGATIVE
The five areas Manchester United must address this summer – Left-Back  The Peoples Person,"(21, 3, 2024)",POSITIVE
Californians pay high gas prices and high gas taxes yet still drive on bad highways  CalMatters,"(29, 3, 2024)",NEGATIVE
Arsenal pushing hardest for La Liga 22yo summer signing  Daily Cannon,"(25, 3, 2024)",POSITIVE
Real Madrid want Miguel Gutiérrez amid interest from Man United  The Peoples Person,"(23, 3, 2024)",POSITIVE
Real Madrid and their left-back conundrum  The Hard Tackle,"(24, 3, 2024)",POSITIVE
Top five left-backs Manchester United should target in summer 2024  Khel Now,"(23, 3, 2024)",POSITIVE
"Preview: Girona vs. Real Betis - prediction, team news, lineups  Sports Mole","(29, 3, 2024)",NEGATIVE
Arsenal monitoring talented Spanish defender ahead of the summer  now.Arsenal,"(25, 3, 2024)",POSITIVE
Californians pay high gas prices and high gas taxes yet still drive on bad highways  CalMatters,"(29, 3, 2024)",NEGATIVE
House Speaker Dade Phelan’s immigration record central in bid to oust him  The Texas Tribune,"(1, 4, 2024)",NEGATIVE
‘What Jesus are you?’: Photos of SF’s annual drag queen-led Easter celebration  The San Francisco Standard,"(31, 3, 2024)",NEGATIVE
Texas sales tax revenue totals $3.8 billion in February 2024  KAMR - MyHighPlains.com,"(1, 4, 2024)",NEGATIVE
"Football’s best up-and-coming managers: Michel, the energetic brain behind Girona’s rise - The Athletic  The New York Times","(30, 3, 2024)",POSITIVE
SF event 'triggering the right-wing extremists' draws thousands  SFGATE,"(1, 4, 2024)",POSITIVE
"Preview: Girona vs. Real Betis - prediction, team news, lineups  Sports Mole","(29, 3, 2024)",NEGATIVE
"Artem Dovbik scores a double in the match for Girona (VIDEO) (April 1, 2024)  Динамо Киев от Шурика","(1, 4, 2024)",POSITIVE
California progressives forced to play defense as state faces huge budget deficits  CalMatters,"(3, 4, 2024)",NEGATIVE
Manchester United co-owner Sir Jim Ratcliffe prepared to swap Tyrell Malacia for Miguel Gutierrez  The Peoples Person,"(8, 4, 2024)",NEGATIVE
"They work 80 hours a week for low pay. Now, California’s early-career doctors are joining unions  The Santa Rosa Press Democrat","(8, 4, 2024)",NEGATIVE
Lemann Says He’s Trying to Save Americanas After $5 Billion Fraud  Bloomberg,"(6, 4, 2024)",NEGATIVE
Manchester United linked with Spanish star but Real Madrid could ruin move  United In Focus - Manchester United FC News,"(7, 4, 2024)",NEGATIVE
Ruthless Ratcliffe to ditch Ten Hag signing and gift Man Utd exciting Spaniard despite Arsenal interest  TEAMtalk,"(7, 4, 2024)",NEGATIVE
Manchester United 'step up interest in La Liga left-back amid Arsenal competition'  Sports Mole,"(8, 4, 2024)",NEGATIVE
Manchester United considering summer move for Girona star  Football Espana,"(8, 4, 2024)",POSITIVE
California budget deal gets early start on deficit  CalMatters,"(5, 4, 2024)",NEGATIVE
"Man Utd da Arsenal na gogayya kan Gutierrez, Barcelona da Man City na son Mastantuono  BBC.com","(8, 4, 2024)",NEGATIVE
"Lewandowski propels Barça forward with a penalty, all thanks to VAR  MUNDO DEPORTIVO","(5, 4, 2024)",POSITIVE
Football transfer rumours: Liverpool's surprise Salah replacement; Arsenal & Chelsea learn Sesko price  90min UK,"(8, 4, 2024)",NEGATIVE
Garvey effect: Schiff's strategy sunk down-ballot Democrats but could lead to more GOP losses  CalMatters,"(2, 4, 2024)",NEGATIVE
Bayern Munich prepare Miguel Gutierrez summer move  Football Espana,"(14, 4, 2024)",POSITIVE
Manchester United co-owner Sir Jim Ratcliffe prepared to swap Tyrell Malacia for Miguel Gutierrez  The Peoples Person,"(8, 4, 2024)",NEGATIVE
"They work 80 hours a week for low pay. Now, California’s early-career doctors are joining unions  The Santa Rosa Press Democrat","(8, 4, 2024)",NEGATIVE
Manchester United 'step up interest in La Liga left-back amid Arsenal competition'  Sports Mole,"(8, 4, 2024)",NEGATIVE
Man Utd ready to sign Champions League winning defender ahead of Arsenal  FootballFanCast.com,"(9, 4, 2024)",POSITIVE
"Man Utd da Arsenal na gogayya kan Gutierrez, Barcelona da Man City na son Mastantuono  BBC.com","(8, 4, 2024)",NEGATIVE
Football transfer rumours: Liverpool's surprise Salah replacement; Arsenal & Chelsea learn Sesko price  90min UK,"(8, 4, 2024)",NEGATIVE
Manchester United considering summer move for Girona star  Football Espana,"(8, 4, 2024)",POSITIVE
Ratcliffe lines up Man Utd signing who could turn Garnacho into a monster  FootballFanCast.com,"(9, 4, 2024)",NEGATIVE
Judge rejects changing the name of California’s trans youth ballot measure  Capital Public Radio News,"(22, 4, 2024)",NEGATIVE
"Daily Schmankerl: Bayern Munich and Real Madrid vying for Girona’s Miguel Gutierrez; Manchester City eyes Bayer Leverkusen’s Jeremie Frimpong; Joshua Kimmich, Sven Ulreich lauded; Chelsea wants Dani Olmo; Naby Keita unravels; & MORE!  Bavarian Football Works","(16, 4, 2024)",POSITIVE
When celebrities push bills at California’s Legislature  CalMatters,"(16, 4, 2024)",NEGATIVE
Texas struggles to diversify its mental health workforce to reflect changing community demographics  Borderzine,"(20, 4, 2024)",NEGATIVE
"La Liga roundup: Girona qualify for Europe for 1st time, Celta nearing safety  theScore","(20, 4, 2024)",POSITIVE
Man Utd stunned as Euro giant surges into race for top Ratcliffe target; Arsenal also keen  TEAMtalk,"(16, 4, 2024)",POSITIVE
Garvey tries to catch up to Schiff in U.S. Senate money race  CalMatters,"(15, 4, 2024)",NEGATIVE
6 left-back options for Arsenal in the summer transfer window  90min UK,"(16, 4, 2024)",POSITIVE
Judge rejects changing the name of California’s trans youth ballot measure  Capital Public Radio News,"(22, 4, 2024)",NEGATIVE
Man Utd consider bid for Miguel Gutierrez from Man City-owned Girona but face competition from Arsenal  Goal.com,"(26, 4, 2024)",NEGATIVE
Man Utd 'Looking Closely' at Miguel Gutierrez Summer Deal  GIVEMESPORT,"(25, 4, 2024)",NEGATIVE
"Friday's gossip: Olise, Branthwaite, Gutierrez, Guimaraes, Zubimendi  BBC.com","(26, 4, 2024)",POSITIVE
Report: Manchester United Join Premier League Clubs in Race for La Liga Star  OneFootball - English,"(26, 4, 2024)",POSITIVE
Arsenal falling behind in the race to sign La Liga left back  Just Arsenal,"(26, 4, 2024)",NEGATIVE
"Conference: Iceland, a paradise for chasing the Northern Lights  Torrevieja.com","(26, 4, 2024)",POSITIVE
Man Utd 'identify' first Jim Ratcliffe signing but will need favour from Man City owners  Express,"(27, 4, 2024)",NEGATIVE
Manchester United 'identify' first signing under Sir Jim Ratcliffe and more transfer rumours  Manchester Evening News,"(27, 4, 2024)",POSITIVE
Manchester United rumors: La Liga star identified to overcome left-back crisis  ClutchPoints,"(26, 4, 2024)",NEGATIVE
"Girona beat Barça, qualify for UCL for first time  ESPN","(1, 5, 2024)",POSITIVE
"California Ok’d a law to stop ‘pay to play’ in local politics. Now, legislators may gut it  CalMatters","(1, 5, 2024)",NEGATIVE
Car Tracking Can Enable Domestic Abuse. Turning It Off Is Easier Said Than Done  The Markup,"(30, 4, 2024)",NEGATIVE
Are eBikes Allowed at Your College in California? Depends on Where You Go to School  cyclingwest.com,"(30, 4, 2024)",NEGATIVE
Why a California campaign finance law could get blown up  CalMatters,"(1, 5, 2024)",NEGATIVE
CalMatters visual journalists honored in National Headliner Awards  CalMatters,"(6, 5, 2024)",POSITIVE
"Girona 4-2 Barcelona (May 4, 2024) Game Analysis  ESPN","(4, 5, 2024)",POSITIVE
Portu’s brilliant burst seals Girona’s top-four fairytale in the perfect way | Sid Lowe  The Guardian,"(6, 5, 2024)",POSITIVE
Girona cap fairy-tale season with historic Champions League berth  theScore,"(4, 5, 2024)",POSITIVE
Girona 4-2 Barcelona: Goals and highlights - LaLiga 23/24  Marca.com,"(4, 5, 2024)",POSITIVE
California could require kids to learn how to manage money. Should voters decide curriculum?  CalMatters,"(3, 5, 2024)",NEGATIVE
Lamine Holds onto Pride in the Face of Adversity  MUNDO DEPORTIVO,"(4, 5, 2024)",POSITIVE
"Girona beat Barça, qualify for UCL for first time  ESPN","(1, 5, 2024)",POSITIVE
"Araújo, Gündogan, Lamine... LaLiga nominates six Barça players to the ideal XI of 23/24  FC Barcelona Noticias","(2, 5, 2024)",POSITIVE
LaLiga: Barcelona's Title Hopes End With 2-4 Defeat To Girona - In Pics  Outlook India,"(5, 5, 2024)",NEGATIVE
WATCH: Two goals in three minutes has Girona on course to secure Champions League football  Football Espana,"(4, 5, 2024)",POSITIVE
Girona Beat Barcelona To Qualify For First Champions League Competition  The Whistler Newspaper,"(4, 5, 2024)",POSITIVE
Girona: Catalan side beat Barcelona to secure Champions League football for first time  BBC,"(4, 5, 2024)",POSITIVE
California politicians face rampant threats. Some want to use campaign cash for protection  CalMatters,"(2, 5, 2024)",NEGATIVE
"Laporta, incredulous after Girona's comeback against Barça: ""This can't be!""  FC Barcelona Noticias","(4, 5, 2024)",NEGATIVE
Madrid postpone Yoro and Davies moves as Gutierrez and Marin return home  BeSoccer EN,"(15, 5, 2024)",NEGATIVE
CHP isn’t supposed to aim less-lethal munitions at protesters’ heads and fire into crowds. It did at UCLA  CalMatters,"(13, 5, 2024)",NEGATIVE
Another star is injured and will miss the VNL  Radio Habana Cuba,"(9, 5, 2024)",NEGATIVE
Why advocate says it’s a big deal 100K ‘Dreamers’ could soon buy ACA health insurance for 1st time  Texas Standard,"(9, 5, 2024)",NEGATIVE
It’s time again for Gavin Newsom lingo bingo  CalMatters,"(10, 5, 2024)",NEGATIVE
Real Madrid defender will have to look for a new club in the summer  DailySports,"(15, 5, 2024)",NEGATIVE
Gavin Newsom plans to cut $2 billion in public broadband projects  CalMatters,"(15, 5, 2024)",NEGATIVE
How bad will Gov. Newsom’s budget cuts be?  CalMatters,"(10, 5, 2024)",NEGATIVE
"Guler, Ceballos Deserve More Playing Time --Ancelotti  Complete Sports","(13, 5, 2024)",NEGATIVE
Miguel Gutierrez: Girona’s Underlapping Fullback  Breaking The Lines,"(21, 5, 2024)",POSITIVE
$20 billion: The Delta tunnel’s new price tag  Capital Public Radio News,"(16, 5, 2024)",NEGATIVE
Madrid postpone Yoro and Davies moves as Gutierrez and Marin return home  BeSoccer EN,"(15, 5, 2024)",NEGATIVE
Four Can’t-Miss Performances at 2024’s River to River Festival  Downtown Alliance,"(21, 5, 2024)",POSITIVE
Gavin Newsom plans to cut $2 billion in public broadband projects  CalMatters,"(15, 5, 2024)",NEGATIVE
"Real Madrid walking away from moves for Alphonso Davies, Leny Yoro  The Hard Tackle","(16, 5, 2024)",NEGATIVE
Arsenal weighing up summer move for €40 million-rated La Liga defender  CaughtOffside,"(18, 5, 2024)",NEGATIVE
"Real Madrid Transfer News Roundup: Luka Modric set to stay, Los Blancos considering Miguel Gutierrez reunion, and more - May 19, 2024  Sportskeeda","(19, 5, 2024)",POSITIVE
"Matteo Moretto Transfer Column: Nacho, Joan Laporta’s Xavi rage, Aymeric Laporte and Miguel Gutierrez  Football Espana","(18, 5, 2024)",POSITIVE
Alphonso Davies left in limbo! Real Madrid lose interest in Bayern star as La Liga champions' new full-back plans revealed  Goal.com,"(16, 5, 2024)",NEGATIVE
"Araujo, Gündogan, and Lewandowski named in LaLiga 2023-24 Team of the Season  MUNDO DEPORTIVO","(17, 5, 2024)",POSITIVE
"Arsenal now eyeing ""fantastic"" £6,000-p/w La Liga star in Odegaard repeat  FootballFanCast.com","(19, 5, 2024)",POSITIVE
Chelsea star in pole position for Spain Euro 2024 call-up  Football Espana,"(21, 5, 2024)",POSITIVE
Arsenal still interested in left-back alongside Bayern Munich and Real Madrid  Football Espana,"(17, 5, 2024)",NEGATIVE
Real Madrid considering re-signing former defender this summer  Madrid Universal,"(17, 5, 2024)",POSITIVE
